Pick,Player,Team_x,Pos,HT,WT,Age_x,Pre-Draft Team,Nationality,Player Link,League,GP,GS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,label,Team_encoded,Position_encoded
48,,,,,225,21,,,,,95.89473684210526,17.11111111111111,0.5590263157894737,0.5259385964912281,7.951754385964915,16.141228070175444,12.138596491228073,13.768421052631581,16.52456140350877,2.0543859649122798,3.669026548672566,23.106140350877183,144.87719298245614,-3.0991228070175434,1.3464912280701753,109.61052631578943,97.07982456140348,19.43421052631579,-48,80,1
49,,,,,265,19,,,,,95.89473684210526,17.11111111111111,0.5590263157894737,0.5259385964912281,7.951754385964915,16.141228070175444,12.138596491228073,13.768421052631581,16.52456140350877,2.0543859649122798,3.669026548672566,23.106140350877183,144.87719298245614,-3.0991228070175434,1.3464912280701753,109.61052631578943,97.07982456140348,19.43421052631579,-49,14,2
50,,,,,250,22,,,,,76.0,17.11111111111111,0.577,0.534,11.7,16.1,14.0,3.7,17.3,1.4,10.6,21.9,127.9,-6.4,1.4,108.7,90.4,20.3,-50,17,0
51,,,,,235,24,,,,,126.0,17.11111111111111,0.53,0.504,12.4,18.0,15.3,6.1,15.9,1.8,7.0,21.9,147.0,-5.2,1.3,105.5,93.2,19.5,-51,32,1
52,,,,,245,22,,,,,129.0,17.11111111111111,0.536,0.486,11.4,23.3,17.5,13.0,9.1,1.5,2.4,33.3,158.3,-2.4,1.3,114.5,96.8,27.5,-52,51,1
53,,,,,224,22,,,,,30.0,1.0,0.628,0.57,2.7,11.9,7.2,16.3,22.1,2.4,0.4,17.7,162.9,-1.9,1.7,110.0,111.3,13.7,-53,61,7
54,,,,,200,20,,,,,57.0,17.11111111111111,0.59,0.539,2.1,6.9,4.6,22.2,17.9,2.0,0.2,24.8,159.6,-1.5,1.4,113.1,104.1,18.1,-54,53,4
55,,,,,200,22,,,,,134.0,17.11111111111111,0.66,0.648,12.2,17.7,15.0,4.4,14.4,1.6,7.9,15.0,168.7,-2.8,1.6,129.4,96.1,21.2,-55,92,1
56,,,,,235,23,,,,,124.0,17.11111111111111,0.559,0.54,9.0,18.6,13.9,3.8,20.8,1.1,12.8,15.2,113.2,-5.1,1.5,101.8,96.0,16.9,-56,60,0
57,,,,,235,23,,,,,126.0,17.11111111111111,0.524,0.496,10.3,12.3,11.4,6.4,25.7,1.6,3.1,15.9,209.9,-5.8,1.3,94.7,98.5,10.8,-57,17,5
58,,,,,276,22,,,,,80.0,17.11111111111111,0.583,0.564,14.1,18.5,16.4,7.4,19.5,2.1,4.4,28.4,148.2,-8.7,1.4,104.9,90.4,21.8,-58,85,1
59,,,,,220,21,,,,,126.0,17.11111111111111,0.54,0.521,8.9,15.3,12.3,8.1,15.6,1.3,3.6,19.7,148.2,-3.6,1.2,107.7,95.2,17.2,-59,83,1
60,,,,,241,22,,,,,126.0,17.11111111111111,0.571,0.565,14.2,19.2,16.7,7.7,16.9,1.8,3.7,21.9,112.7,-5.1,1.5,111.8,97.6,21.3,-60,39,1
999,,,,,175,21,,,,,121.0,17.11111111111111,0.461,0.455,2.1,11.0,6.6,31.6,22.5,2.3,0.6,20.1,121.0,1.5,1.0,94.0,100.3,12.7,-999,89,6
999,,,,,200,21,,,,,115.0,17.11111111111111,0.576,0.532,3.8,14.4,9.2,27.0,20.5,4.0,2.2,25.0,154.8,-1.8,1.4,107.2,99.3,20.6,-999,21,3
999,,,,,290,21,,,,,6.0,6.0,0.651,0.618,8.4,32.7,20.1,12.2,22.4,1.0,6.8,23.0,132.4,-6.3,1.6,108.2,109.3,20.2,-999,25,0
999,,,,,240,22,,,,,139.0,17.11111111111111,0.55,0.525,10.6,10.4,10.5,4.1,22.0,1.6,1.1,13.4,112.5,-4.4,1.4,105.3,96.7,10.3,-999,15,1
999,,,,,205,22,,,,,138.0,17.11111111111111,0.524,0.475,2.3,11.0,6.8,19.8,15.1,1.4,0.2,23.0,149.5,-0.3,1.3,107.1,98.3,15.6,-999,76,3
999,,,,,185,20,,,,,98.0,17.11111111111111,0.534,0.461,5.4,15.3,10.2,26.9,16.7,2.8,1.2,30.7,155.1,-2.2,1.3,106.2,99.0,21.9,-999,41,3
999,,,,,185,22,,,,,130.0,17.11111111111111,0.569,0.543,1.7,6.9,4.4,14.2,13.8,2.3,0.2,23.2,159.2,-1.7,1.3,113.1,104.6,16.6,-999,46,6
999,,,,,215,22,,,,,87.0,17.11111111111111,0.49,0.449,10.5,22.0,16.2,12.8,18.8,3.4,1.4,30.3,134.1,-7.9,1.2,95.0,91.8,18.9,-999,81,4
999,,,,,255,22,,,,,134.0,17.11111111111111,0.606,0.648,12.1,16.1,14.2,4.5,15.2,1.6,5.1,18.5,104.3,-4.2,1.5,113.0,97.3,19.3,-999,72,5
999,,,,,260,21,,,,,70.0,17.11111111111111,0.589,0.549,11.7,12.4,12.1,8.0,16.8,1.3,4.7,24.8,123.8,-5.7,1.5,112.7,97.2,20.6,-999,33,2
999,,,,,187,21,,,,,6.0,1.0,0.496,0.439,3.9,22.2,13.6,15.5,15.0,1.6,1.9,24.6,151.2,-1.8,1.1,99.0,111.6,13.7,-999,16,3
999,,,,,250,22,,,,,29.0,18.0,0.689,0.655,9.2,20.3,14.9,11.2,21.7,2.3,3.1,27.4,136.3,-8.4,1.8,112.7,103.2,22.5,-999,24,0
999,,,,,205,22,,,,,141.0,17.11111111111111,0.564,0.513,4.7,12.8,9.0,21.1,16.2,2.2,2.3,23.3,158.5,-1.1,1.3,113.1,94.6,20.1,-999,79,8
999,,,,,225,21,,,,,129.0,17.11111111111111,0.588,0.573,11.8,20.1,16.1,18.7,17.2,3.6,7.0,26.1,132.4,-3.5,1.6,113.5,87.7,27.3,-999,87,1
999,,,,,209,22,,,,,134.0,17.11111111111111,0.541,0.507,4.7,10.2,7.6,11.4,11.5,1.6,0.5,22.3,160.8,-1.2,1.2,110.9,105.7,16.2,-999,7,4
999,,,,,205,23,,,,,143.0,17.11111111111111,0.562,0.523,1.6,7.2,4.6,24.8,16.5,2.1,0.1,24.2,162.9,0.9,1.3,113.2,97.1,17.8,-999,26,6
999,,,,,180,23,,,,,113.0,17.11111111111111,0.499,0.44,4.1,9.3,6.8,19.9,16.0,3.2,1.5,27.3,144.3,-2.5,1.2,103.5,94.7,17.4,-999,83,3
999,,,,,265,22,,,,,87.0,17.11111111111111,0.586,0.573,10.1,23.0,16.9,15.8,17.8,1.1,7.9,22.8,117.5,-2.5,1.5,113.5,92.1,22.8,-999,12,0
999,,,,,230,22,,,,,128.0,17.11111111111111,0.581,0.536,5.6,10.8,8.4,9.2,13.6,1.6,2.4,17.5,160.7,-1.5,1.4,115.5,104.7,15.3,-999,43,5
999,,,,,198,22,,,,,128.0,17.11111111111111,0.53,0.493,3.3,11.2,7.3,18.8,15.1,2.4,0.6,24.8,152.3,-1.7,1.2,104.1,101.2,16.9,-999,49,4
999,,,,,260,21,,,,,41.0,38.0,0.6,0.557,6.4,17.3,11.9,6.0,14.6,1.1,4.8,21.1,160.6,-4.3,1.4,113.4,103.1,16.0,-999,73,2
999,,,,,190,22,,,,,138.0,17.11111111111111,0.599,0.574,4.4,10.2,7.3,13.5,15.8,3.2,0.8,18.1,157.3,-1.0,1.4,116.8,94.3,17.1,-999,33,3
999,,,,,205,23,,,,,131.0,17.11111111111111,0.549,0.53,4.2,10.9,7.6,13.2,13.5,2.2,2.3,24.0,152.2,-2.2,1.2,107.6,99.9,18.6,-999,64,4
999,,,,,250,23,,,,,36.0,17.11111111111111,0.47,0.433,12.1,29.3,21.3,2.1,24.7,1.0,7.0,16.6,104.3,-7.4,1.1,87.1,97.7,11.9,-999,11,0
999,,,,,255,24,,,,,117.0,17.11111111111111,0.618,0.649,12.3,19.4,16.1,5.9,24.0,1.2,3.2,18.5,112.9,-6.7,1.6,104.3,95.0,15.3,-999,0,0
999,,,,,185,23,,,,,131.0,17.11111111111111,0.561,0.537,1.6,6.7,4.2,22.1,14.5,2.3,0.1,18.8,154.5,2.4,1.2,117.3,106.2,15.7,-999,4,6
999,,,,,175,23,,,,,123.0,17.11111111111111,0.544,0.541,3.7,9.9,6.9,12.1,16.9,1.9,1.7,17.8,136.1,-1.7,1.2,105.9,104.7,13.5,-999,78,3
999,,,,,180,22,,,,,95.89473684210526,17.11111111111111,0.5590263157894737,0.5259385964912281,7.951754385964915,16.141228070175444,12.138596491228073,13.768421052631581,16.52456140350877,2.0543859649122798,3.669026548672566,23.106140350877183,144.87719298245614,-3.0991228070175434,1.3464912280701753,109.61052631578943,97.07982456140348,19.43421052631579,-999,28,3
999,,,,,280,21,,,,,118.0,17.11111111111111,0.58,0.554,13.8,26.5,20.4,9.6,12.7,0.9,7.4,30.1,154.9,-5.1,1.3,112.6,91.4,28.7,-999,50,0
999,,,,,186,22,,,,,119.0,17.11111111111111,0.501,0.451,2.2,9.4,5.9,24.3,17.5,3.2,0.9,32.9,140.8,-4.6,1.2,98.8,103.7,17.9,-999,38,6
999,,,,,230,21,,,,,31.0,17.11111111111111,0.532,0.49,9.8,24.4,16.7,8.4,18.5,0.9,2.9,35.1,136.6,-10.8,1.4,99.7,99.6,20.8,-999,63,2
999,,,,,220,26,,,,,82.0,17.11111111111111,0.537,0.541,13.0,19.0,16.1,2.4,16.0,1.6,8.2,16.2,103.4,-4.4,1.4,107.0,92.3,16.5,-999,30,1
999,,,,,175,23,,,,,73.0,17.11111111111111,0.561,0.513,1.8,9.4,5.8,19.2,15.7,1.4,0.7,25.2,162.4,-1.8,1.3,107.9,104.3,16.7,-999,40,3
999,,,,,205,22,,,,,136.0,17.11111111111111,0.483,0.455,3.9,8.7,6.4,26.7,20.7,2.7,0.4,17.7,133.6,2.8,1.1,103.0,102.1,13.2,-999,51,3
