WT,Age_x,GP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,Team_encoded,Position_encoded,PREDICTION,Player,RowIndex
175,23,50.0,0.567,0.532,2.9,9.6,6.2,30.6,19.0,4.1,0.1,26.1,160.8,0.3,1.3,109.2,95.1,20.3,33,5,-712.3284117855227,Stefhon Hannah,55
265,24,58.0,0.503,0.466,7.9329268292682915,15.142682926829263,11.618292682926826,13.429268292682927,15.8,2.0646341463414632,4.08048780487805,23.206097560975607,139.1,-2.9073170731707325,1.2,111.15975609756096,95.70121951219511,19.890243902439018,55,0,-726.8988307129783,Chris Daniels,56
198,22,45.0,0.507,0.483,7.9329268292682915,15.142682926829263,11.618292682926826,13.429268292682927,20.9,2.0646341463414632,4.08048780487805,23.206097560975607,142.8,-2.9073170731707325,1.1,111.15975609756096,95.70121951219511,19.890243902439018,23,5,-737.3138382283348,Russell Robinson,57
260,22,93.0,0.577,0.545,7.9,18.7,13.4,16.3,23.5,1.5,11.2,15.9,130.3,-1.7,1.3,107.8,83.0,17.0,67,0,-737.7679294765665,Greg Stiemsma,58
188,22,44.0,0.49,0.417,7.9329268292682915,15.142682926829263,11.618292682926826,13.429268292682927,25.0,2.0646341463414632,4.08048780487805,23.206097560975607,142.7,-2.9073170731707325,1.2,111.15975609756096,95.70121951219511,19.890243902439018,19,5,-741.5831474265573,George Hill,59
235,21,130.0,0.556,0.521,7.9,16.9,12.6,8.4,15.7,2.0,6.8,21.2,153.2,-4.0,1.3,107.9,92.5,18.7,28,7,-753.8860280460278,James Gist,60
250,23,135.0,0.562,0.568,10.9,15.5,13.4,3.6,12.7,1.3,7.6,18.7,108.0,-3.5,1.4,112.5,88.5,17.7,23,0,-761.6145442054842,Sasha Kaun,61
232,23,108.0,0.6,0.524,9.9,18.0,14.1,10.4,15.7,1.4,4.8,19.8,168.8,-2.5,1.6,121.1,96.7,19.8,39,2,-762.120177280968,Rob Kurz,62
200,22,121.0,0.54,0.489,4.7,12.2,8.5,28.8,22.9,3.4,3.0,22.3,145.8,-0.3,1.3,102.0,94.6,18.5,63,10,-764.7054507344151,Kyle Weaver,63
225,23,104.0,0.564,0.535,6.7,13.2,10.0,8.8,21.9,3.2,4.1,12.1,146.6,-2.1,1.4,107.2,93.9,13.1,42,2,-772.5590098990536,Marcus Dove,64
220,24,114.0,0.56,0.534,7.5,14.6,11.0,13.4,15.1,2.9,1.6,22.3,151.4,-2.3,1.3,113.0,99.2,19.3,6,5,-774.8892404952777,Frank Robinson,65
173,22,125.0,0.596,0.554,1.3,10.0,5.7,21.9,14.5,1.0,0.4,26.5,174.2,-1.3,1.4,116.3,103.2,19.7,10,8,-779.7590393454561,Brian Roberts,66
248,22,132.0,0.582,0.589,7.2,12.4,9.9,3.0,22.1,2.1,13.3,11.3,110.8,-4.0,1.4,102.7,92.2,13.8,4,0,-791.3639262478487,Steven Hill,67
250,21,122.0,0.569,0.536,10.7,22.6,16.8,14.2,15.1,1.5,6.5,26.9,148.4,-3.9,1.4,111.5,99.3,23.9,46,7,-791.3835213712075,Jason Thompson,68
229,25,112.0,0.55,0.538,10.4,17.9,14.2,9.3,20.1,0.8,5.7,23.6,111.0,-6.7,1.3,101.2,93.7,17.4,41,0,-803.7651803030983,Longar Longar,69
245,22,122.0,0.548,0.545,13.4,18.1,15.8,4.2,16.5,1.0,2.4,23.6,107.6,-6.4,1.4,105.0,92.9,17.6,20,4,-809.0455323891396,Shaun Pruitt,70
230,22,108.0,0.501,0.489,11.6,15.5,13.4,13.0,19.0,3.7,3.7,22.1,122.2,-4.2,1.2,100.3,91.4,18.0,8,2,-819.1365180341797,James Mays,71
225,24,112.0,0.527,0.501,3.1,7.5,5.3,17.1,12.5,2.6,0.5,22.8,156.9,-0.2,1.2,109.2,100.2,16.1,13,5,-822.6476994201531,Maureece Rice,72
250,23,129.0,0.594,0.557,8.9,14.7,12.0,4.2,21.7,1.5,8.3,10.2,130.4,-2.8,1.4,111.9,95.4,11.9,31,4,-825.2766079392438,Drew Naymick,73
195,22,126.0,0.575,0.555,4.5,11.3,7.8,12.6,12.6,3.5,0.5,22.4,150.8,-1.5,1.3,114.5,99.5,18.7,52,5,-831.1272999727088,JaJuan Smith,74
210,22,123.0,0.589,0.556,6.0,9.7,7.9,7.9,10.5,1.9,1.0,21.8,172.5,-2.0,1.3,121.8,103.3,18.1,16,6,-835.0991964392421,Anthony Morrow,75
229,24,63.0,0.586,0.597,11.1,18.6,15.0,5.7,20.4,1.9,9.8,11.9,110.9,-2.9,1.5,109.7,92.3,15.8,22,0,-837.5157108858285,Kurt Looby,76
210,22,128.0,0.522,0.49,7.3,14.6,10.9,10.4,14.1,2.4,3.5,21.4,138.0,-2.5,1.3,105.8,96.0,16.7,62,6,-858.1839289523807,Deron Washington,77
195,22,123.0,0.49,0.461,6.8,13.2,9.9,24.7,17.6,4.0,0.7,23.0,130.4,-0.1,1.2,103.3,97.2,17.7,15,5,-863.525156635502,Sundiata Gaines,78
